Table,Ticker
WMT,WMT
AMZN,AMZN
AAPL,AAPL
XOM,XOM
ABC,ABC
T,T
GOOGL,GOOGL
COST,COST
CAH,CAH
MSFT,MSFT
F,F
GM,GM
CMCSA,CMCSA
DELL,DELL
GE,GE
JNJ,JNJ
INTC,INTC
UPS,UPS
IBM,IBM
FB,FB
PG,PG
DIS,DIS
BA,BA
FDX,FDX
PEP,PEP
ADM,ADM
LMT,LMT
HPQ,HPQ
CSCO,CSCO
PFE,PFE
BUD,BUD
MRK,MRK
CAT,CAT
ACN,ACN
TSN,TSN
DOW,DOW
ORCL,ORCL
NKE,NKE
ABBV,ABBV
BMY,BMY
NOC,NOC
HON,HON
KO,KO
ABT,ABT
MMM,MMM
INT,INT
PM,PM
MDT,MDT
ARW,ARW
HPE,HPE
JBL,JBL
TMO,TMO
MDLZ,MDLZ
TSLA,TSLA
MO,MO
KHC,KHC
AMGN,AMGN
SBUX,SBUX
SNX,SNX
FLEX,FLEX
LLY,LLY
AVGO,AVGO
V,V
JCI,JCI
NFLX,NFLX
BKR,BKR
GILD,GILD
CTL,CTL
IP,IP
CUK,CUK
DD,DD
MU,MU
CMI,CMI
QCOM,QCOM
CRM,CRM
MCD,MCD
PYPL,PYPL
GIS,GIS
MAR,MAR
WDC,WDC
MA,MA
